marca,modelo,numero_serie,estado,ubicacion,numero_factura,fecha_compra,fecha_vencimiento_garantia,costo
HP,HP PRODESK 400 G1 SFF,MXL50720TF,Bueno,Oficina Principal,***,1/15/2023,1/14/2028,0
HP,PRODESK 400 G7,1CZ1500C1V,Bueno,Oficina Principal,***,1/15/2023,1/14/2028,0
HP,245 G7 NOTEBOOK PC,"
5CG1118QWH",Bueno,Oficina Principal,***,1/15/2023,1/14/2028,0
HP,PRO COMPAQ 4300 SFF,MXL32815LF,Bueno,Oficina Principal,***,1/15/2023,1/14/2028,0
HP,PRO COMPAQ 4300 SFF,MXL32815LF,Bueno,Oficina Principal,***,1/15/2023,1/14/2028,0
HP,HP ELITEDESK 800 G3 MINI,2YW48US#ABA,Bueno,Oficina Principal,***,1/15/2023,1/14/2028,0
POWER GROUP,G10382HSD -S2H,***,Bueno,Oficina Principal,***,1/15/2023,1/14/2028,0
HP,LAPTOP 15-DY1XXX,***,Bueno,Oficina Principal,***,1/15/2023,1/14/2028,0
JANUS,4 FAN MS-7D23,23024649991,Bueno,Oficina Principal,***,1/15/2023,1/14/2028,0
ASUS,ASUS VIVOBOOK,HCN0CX26L66752G,Bueno,Oficina Principal,***,1/15/2023,1/14/2028,0
HP,PRO 3000/3080,GENERICO,Bueno,Oficina Principal,***,1/15/2023,1/14/2028,0
AERCOOL,"
AEROCOOL CYLION PRIME B560-A",***,Bueno,Oficina Principal,***,1/15/2023,1/14/2028,0
HP,PRODESK 500 G1 SFF,MXL50720RC,Bueno,Oficina Principal,***,1/15/2023,1/14/2028,0
HP,Z4 G6 WORKSTATION,USH932L5VG,Bueno,Oficina Principal,***,1/15/2023,1/14/2028,0
HP,Z2 TOWER G4 WORKSTATION,USH940L5J4,Bueno,Oficina Principal,***,1/15/2023,1/14/2028,0
HP,245 G8 NOTEBOOOK,5CG14884SF,Bueno,Oficina Principal,***,1/15/2023,1/14/2028,0
HP,Z2 TOWER G5 WORKSTATION,USH150L0PZ,Bueno,Oficina Principal,***,1/15/2023,1/14/2028,0
APPLE,MACBOOK PRO,C1MNR5XWDTY3,Bueno,Oficina Principal,***,1/15/2023,1/14/2028,0
POWERGROUP,H81H3-M4,***,Bueno,Oficina Principal,***,1/15/2023,1/14/2028,0
HP,HP PRODESK 400 G1 SFF,MXL50720SZ,Bueno,Oficina Principal,***,1/15/2023,1/14/2028,0
DELL,VOSTRO 470,9NWV4V1,Bueno,Oficina Principal,***,1/15/2023,1/14/2028,0
HP,HP ZBOOK 15 G2,CND5401GD9,Bueno,Oficina Principal,***,1/15/2023,1/14/2028,0
LENOVO,THINKPAD e15,"R90TVCB2
10B7A1YG00
LENOVO SDK0E50510",Bueno,Oficina Principal,***,1/15/2023,1/14/2028,0
LENOVO,21BV0097US Lenovo 21BV0097US ThinkPad T16 Gen,***,Bueno,Oficina Principal,***,1/15/2023,1/14/2028,0
HP,HP PRODESK 400 G1 S,MXL50720TP,Bueno,Oficina Principal,***,1/15/2023,1/14/2028,0
HP,HP ELITEDESK 800 G6 SMALL FORM FACTOR PC,MXL1103TS3,Bueno,Oficina Principal,***,1/15/2023,1/14/2028,0
HP,HP 245 G8 NOTEBOOK PC,GENERICO,Bueno,Oficina Principal,***,1/15/2023,1/14/2028,0
HP,HP Z420 WORKSTATION,"
USH309A0AA",Bueno,Oficina Principal,***,1/15/2023,1/14/2028,0
HP,PROBOOK,***,Bueno,Oficina Principal,***,1/15/2023,1/14/2028,0
JANUS,MS7971,***,Bueno,Oficina Principal,***,1/15/2023,1/14/2028,0
HP PRODESK MINI,PRODESK 600 G1 DM,2UA4292466,Bueno,Oficina Principal,***,1/15/2023,1/14/2028,0
LENOVO,LENOVO E15 GEN2,MJ0GJ7SS,Bueno,Oficina Principal,***,1/15/2023,1/14/2028,0
HP,HP ELITEDESK 800 G2 DM 35W,MXL64922R1,Bueno,Oficina Principal,***,1/15/2023,1/14/2028,0
HP,HP PRODESK 600 G1 DM,2UA429245R,Bueno,Oficina Principal,***,1/15/2023,1/14/2028,0
